id;what;who;Gender;Category;Activity;Context;Birthday, place;sterbedatum_und_sterbeort;Zipcode;Street;Housenr;Location;District;made;art
265;;"Krystana Janewa; bulgarische Kommunistin und NS-Widerstandskämpferin";f;History;Communism;NS resistance;30.10.1914;23.10.1944, Zuchthaus Halle/Saale;10117;Albrechtstraße;14;Zwischen dem 2. und 3. Fenster links;Mitte;1977;Metalltafel
521;;"Selma Meerbaum-Eisinger; deutschsprachige jüdisch-ukrainische Dichterin";f;Culture;Writing;NS victim;05.02.1924, Czernowitz, Ukraine;16.12.1942, Ukraine;10555;Siegmunds Hof;20;Im Meerbaumhaus;Hansaviertel;Mrz 87;2 Acrylglastafeln
10;;"Bona Peiser;  Erste deutsche Bibliothekarin";f;History;Library;;26.04.1864, Berlin;17.03.1929, Berlin;10179;Rungestraße;25 bis 27;Zwischen dem 5. und 6. Fenster links der Einfahrt;Mitte;10.09.1995;Eisengusstafel
11;;"Walter Felsenstein; Regisseur, Gründer und Intendant der Komischen Oper";m;Culture;Directing;;30.05.1901, Wien;08.10.1975, Berlin;10117;Behrenstraße;55 bis 57;Pfeiler am Eingang Komische Oper;Mitte;08.10.1995;KPM - Berliner Gedenktafel
12;;"Johann Peter Süßmilch; evangelischer Theologe, Statistiker und Demograph";m;Religion and Philosophy;Theologist;protestant;03.09.1707, Berlin-Zehlendorf;22.03.1767, Berlin;10178;Brüderstraße;10;Zur Zeit im Haus. Noch nicht wieder angebracht;Mitte;18.10.1994;KPM - Berliner Gedenktafel
13;;"Martin Heinrich Klaproth; Apotheker und Chemiker, Entdecker des Elements Uran";m;Science and Research;Chemistry;;01.12.1743, Wernigerode;01.01.1817, Berlin;10178;Spandauer Straße;25;Spandauer Straße Ecke Probststraße, Hofseite / Fassade zum Nikolaikirchplatz;Mitte;15.12.1995;KPM - Berliner Gedenktafel
269;;"Karl Reichsfreiherr vom und zum Stein; preussischer Reformer";m;History;Politics;Prussian;26.10.1757, Nassau;29.06.1831, Cappenburg, Westfalen;10117;Am Festungsgraben;1;Zwischen dem 2. und 3. Fenster rechts;Mitte;;Bronzetafel
525;;"Max Josef Metzger; katholischer Priester, Pazifist, NS-Widerstandskämpfer, Förderer der Sprache Esperanto";m;Religion and Philosophy;Theologist;NS resistance;03.02.1887, Schopfheim;17.04.1944, Zuchthaus Brandenburg;13353;Willdenowstraße;8;St. Josephskirche, links vom Eingang, zwischen dem 3. und 4. Fenster;Wedding;1994;Bronzetafel
14;;"Heinrich Runge; Heraldiker, Revolutionsteilnehmer, Berliner Stadtkämmerer";m;History;Politics;March revolution;15.12.1817, Zehdenick;26.11.1886, Berlin;10179;Köpenicker Straße;92;Zwischen dem 2. und 3. Fenster rechts vom Eingang;Mitte;19.01.1996;KPM - Berliner Gedenktafel
16;;"Johann Ernst Gotzkowsky; Unternehmer, Kunsthändler und Begründer der späteren KPM";m;Business;Entrepreneur;Art;21.11.1710, Chojnice, Polen;09.08.1775, Berlin;10178;Brüderstraße;13;Links vom Eingang;Mitte;10.05.1996;KPM - Berliner Gedenktafel
17;;"Louis Lewin; Arzt und Pharmakologe, Pionier der Gewerbetoxiologie und Suchtmittelforschung";m;Science and Research;Medicin;;09.11.1850, Tuchola, Polen;01.12.1929, Berlin;10117;Ziegelstraße;5 bis 9;Zwischen dem 3. und 4. Fenster vom rechts;Mitte;08.11.1996;Bronzetafel
274;;"Theodor Leipart; Drechsler, Vorsitzender des Allgemeinen Deutschen Gewerkschaftsbundes";m;History;Politics;worker's rights;17.05.1867, Neubrandenburg;23.03.1947, Berlin;10179;Am Köllnischen Park;2;Links neben dem Haupteingang;Mitte;10.04.1997;Bronzetafel
275;;"Eduard Hildebrandt; Maler, Königlich Preussischer Hofmaler";m;Culture;Painting;royal;09.09.1817, Danzig;25.10.1868, Berlin;10117;Am Kupfergraben;6a;Zwischen dem 3. und 4. Fenster im 1. Stockwerk;Mitte;;Marmortafel mit vergoldeter Inschrift
277;;"Emil Frommel; evangelischer Theologe, Schriftsteller, Hofprediger, Militäroberpfarrer";m;Religion and Philosophy;Theologist;protestant;05.01.1828, Karlsruhe;09.11.1898, Plön;10178;Anna-Louisa-Karsch-Straße;9;Hoch über der Haustür;Mitte;;Bronzetafel
22;;"August Boeckh; Philologe und Altertumsforscher, Universitätsprofessor";m;Science and Research;Philology;;24.11.1785, Karlsruhe;03.08.1867, Berlin;10117;Dorotheenstraße;65;Mit Medaillon eines Reliefportraits links vom Eingang;Mitte;24.11.1997;Bronzetafel
278;;"Ewald Vogt; Maschinenschlosser, Funktionär der KPD, Betriebsrat im Walzwerk Hennigsdorf, NS-Verfolgter";m;History;Communism;NS persecuted;21.08.1905;21.08.1933;10115;Anklamer Straße;5;Zwischen dem 3. und 4. Fenster links vom Eingang;Mitte;1972;Bronzetafel
23;;"Sören Kiekegaard; dänischer Philosoph und Theologe";m;Religion and Philosophy;Philosopher;;05.05.1813, Kopenhagen, Dänemark;11.11.1855, Kopenhagen;10117;Jägerstraße;57;Jägerstraße Ecke Charlottenstraße 54, Hausfront zwischen 2 Fenster;Mitte;25.11.1997;Bronzetafel
26;;"Henriette Hirschfeld-Tiburtius; Erste akademisch ausgebildete Zahnärztin in Deutschland";f;Science and Research;Medicin;;14.02.1834, Westerland auf Sylt;25.08.1911, Berlin;10117;Behrenstraße;9 bis 13;Behrenstraße / Glinkastraße;Mitte;14.02.1998;Edelstahltafel
286;;"Heinrich Heine; Dichter, Schriftsteller und Journalist";m;Culture;Writing;;13.12.1797, Düsseldorf;17.02.1856, Paris;10117;Behrenstraße;68 bis 71;Zwischen dem 1. und 2. Fenster rechts vom Eingang;Mitte;17.02.1956;Bronzetafel
291;;"Carl Friedrich Zelter; Maurermeister, Musikprofessor, Komponist, Dirigent";m;Culture;Composing;;11.12.1758, Berlin;15.05.1832, Berlin;10178;Brüderstraße;13;Ganz links unter 1. Etage;Mitte;1928;Bronzetafel
292;;"Theodor Körner; Dichter und Dramatiker";m;Culture;Writing;;23.09.1791, Dresden;26.08.1813, Forst Rosenow bei Gadebusch;10178;Brüderstraße;13;2. Tafel links vom Eingang unter 1. Etage;Mitte;1928;Bronzetafel
293;;"Christian Gottfried Körner, Minna Körrner und Dora Stock; Schriftsteller";mff;Culture;Writing;;;;10178;Brüderstraße;13;3. Tafel links vom Eingang unter 1. Etage;Mitte;1928;Bronzetafel
38;;"Carl Abraham Gerhard; Mineraloge und Gründer der Berliner Bergakademie";m;Science and Research;Mineralogy;;26.02.1738, Lerchenborn;09.03.1821, Berlin;10179;Neue Grünstraße;27;Rechts neben Eingang;Mitte;02.06.1998;Bronzetafel
294;;"Elisa von der Recke, Christoph August Tiedge; Schriftsteller";fm;Culture;Writing;;"20.05.1754, Schönberg; 14.12.1752, Gardeleben";"13.04.1833, Dresden; 08.03.1841, Dresden";10178;Brüderstraße;13;2. Tafel rechts vom Eingang unter 1. Etage;Mitte;;Bronzetafel
39;;"Karl Philipp Moritz alias Anton Reiser; Schriftsteller, Philosoph und Journalist";m;Culture;Writing;;15.09.1756, Hameln;26.06.1793, Berlin;10178;Münzstraße;7;Ganz links am Haus;Mitte;15.09.1998;KPM - Berliner Gedenktafel
295;;"Max Butting; Komponist, Gründungsmitglied der Deutschen Akademie der Künste der DDR";m;Culture;Composing;GDR personality;06.10.1888, Berlin;13.07.1976, Berlin;10115;Brunnenstraße;148;Ãœber dem Hauseingang;Mitte;;Steintafel mit schwarzer Inschrift
40;;"Alexander Michailowitsch Gortschakow; russischer Diplomat, Aussenminister und Kanzler";m;History;Politics;Russia;04.06.1798, Haapsalu;13.03.1883, Baden-Baden;10117;Unter den Linden;61;Rechts vom Eingang, Wand zum Gehweg;Mitte;10.11.1998;Bronzetafel
296;;"Philipp Schaeffer; Orientalist, Sinologe und NS-Widerstandskämpfer";m;Science and Research;Sinology;NS resistance;16.11.1894, Königsberg;13.05.1943, Berlin-Plötzensee;10119;Brunnenstraße;181;1. Obergeschoß rechts von der Treppe;Mitte;1953;Acrylglastafel
41;;"Peter Behrens; Architekt, Kunstmaler und Designer";m;Culture;Architecture;;14.04.1868, Hamburg;27.02.1940, Berlin;10178;Alexanderplatz;2;Alexanderhaus, zwischen den Eingangstüren;Mitte;02.03.1999;Edelstahltafel
299;;"August Borsig; Zimmermann, Unternehmer, Gründer der Borsig-Werke";m;Business;Entrepreneur;;23.06.1804, Breslau;06.07.1854, Berlin;10115;Chausseestraße;1;Rechts vom Eingang;Mitte;;Eisengusstafel
300;;"Bertolt Brecht und Helenge Weigel; Dramatiker und Lyriker, Schauspielerin";mf;Culture;"Writing; Acting";;"10.02.1898, Augsburg; 12.05.1900, Wien";"14.08.1956, Berlin; 06.05.1971, Berlin";10115;Chausseestraße;125;Rechts vom Eingang;Mitte;09.02.1978;Bronzetafel
46;;"Moritz Heinrich Romberg; Neurologe, Armenarzt und Mitbegründer der Neurologie";m;Science and Research;Medicin;;11.11.1795, Meiningen;17.06.1873, Berlin;10117;Am Zeughaus;2;Links vom Eingang;Mitte;04.06.1999;Bronzetafel
47;;"Otto Weidt; Unternehmer, Besitzer einer Blindenwerkstatt";m;Business;Entrepreneur;;02.05.1883, Rostock;22.12.1947, Berlin;10178;Rosenthaler Straße;39;Bodenplatte in der Einfahrt;Mitte;04.09.1999;Bronze-Bodentafel
303;;"Robert Koch; Mediziner und Mikrobiologe";m;Science and Research;Medicine;;11.12.1843, Clausthal;27.05.1910, Baden-Baden;10117;Dorotheenstraße;96;Ãœber der Tür des Lesesaales;Mitte;um 1900;Holztafel
48;;"Alexander von Humboldt; Naturforscher, Mitbegründer der wissenschaftlichen Geographie";m;Science and Research;Science;;14.09.1769, Berlin;06.05.1859, Berlin;10117;Jägerstraße;22;Zwischen dem 2. und 3. Fenster rechts vom Eingang;Mitte;1984;Bronzetafel
306;;"Theodor Fontane; Schriftsteller und Apotheker";m;Culture;Writing;;30.12.1819, Neupuppin;20.09.1898, Berlin;10117;Friedrichstraße;151;Friedrichstraße Ecke Dorotheenstraße, im Schaufenster der Apotheke;Mitte;1992;Glasscheibe mit schwarzer und weißer Schrift
51;;"Michail Iwanowitsch Glinka; russischer Komponist";m;Culture;Composing;Russian;20.05.1804, Smolensk, Russland;03.07.1857, Berlin;10117;Französische Straße;8;Glinkastraße, links vom Eingang;Mitte;18.02.2000;Edelstahltafel
54;;"Ludwig Jonas; protestantischer Theologe, Diakon von St. Nikolai, Kirchenpolitiker";m;Religion and Philosophy;Theologist;protestant;11.02.1797, Neustadt (Dosse);19.09.1859, Berlin;10178;Brüderstraße;13;3. Tafel rechts vom Eingang unter 1. Etage;Mitte;14.09.2000;Bronzetafel
56;;"Enrique Gil y Carrasco; spanischer Schriftsteller, Bibliothekar, Botschaftssekretär";m;Culture;Writing;Spanish;15.07.1815, Villafranca del Bierzo;22.02.1846 Berlin;10117;Dorotheenstraße;41;Zwischen 2 Schaufenstern;Mitte;18.10.2000;Bronzetafel mit blauer Inschrift
60;;"Robert Frenzel; Schulleiter, Begründer der Berliner Abendrealschule";m;History;Education;;1888, Berlin;1977, Lüneburg;10119;Gipsstraße;23 a;Links vom Eingang, am Nebeneingang;Mitte;03.03.2001;Bronzetafel
316;;"Michael Iwanowitsch Glinka; russischer Komponist";m;Culture;Composing;Russian;20.05.1804, Smolensk, Russland;03.07.1857, Berlin;10117;Glinkastraße;9 bis 11;Im geschlossenen Fensterbogen;Mitte;17.03.1952;Steinrelief
61;;"Herbert Baum; Jungkommunist, Leiter der antifaschischen Widerstandsgruppe Herbert Baum";m;History;Communism;NS resistance;10.02.1912;11.06.1942, Berlin;10178;Am Lustgarten;9;Lustgarten, Gedenkstein vor dem Dom;Mitte;04.03.2001;Gedenksteininschrift und 3 Acrylglastafeln
317;;"Franz Mett; Bergmann, Metallarbeiter, Funktionär der KPD, NS-Widerstandskämpfer (Uhrig-Gruppe)";m;History;Communism;NS resistance;25.10.1904, Nickelnischken, Ostpreußen;21.08.1944, Zuchthaus Brandenburg;10119;Gormannstraße;13;Am Mittelpfeiler des Eingangs;Mitte;40er Ende;Steintafel
573;;"Paul Gurk; Schriftsteller und Maler";m;Culture;Writing;;26.04.1880, Frankfurt/Oder;12.08.1953, Berlin;13351;Afrikanische Straße;144 b;Rechts vom Eingang;Wedding;;Bronzetafel
319;;"Franz Bumm; Jurist, Präsident des Reichsgesundheitsamts";m;History;Politics;Prussian;07.03.1861, Würzburg;13.08.1942, Berlin;10115;Große Hamburger Straße;7 bis 11;Im Eingangsbereich des Josephshaus St. Hedwig-Krankenhauses;Mitte;14.09.1996;Steintafel mit Reliefportrait
64;;"Regina Jonas; Weltweit erste ordinierte Rabbinerin";f;Religion and Philosophy;Rabbi;NS victim;03.08.1902, Berlin;1944, Auschwitz-Birkenau;10115;Krausnickstraße;6;Rechts neben dem Eingang;Mitte;01.06.2001;Acrylglastafel
576;;"Theodor Plievier; Schriftsteller, Matrose, Anarchist";m;Culture;Writing;;12.02.1892, Berlin;12.03.1955, Avegno, Schweiz;13357;Wiesenstraße;29;Rechts vom Eingang;Gesundbrunnen;;Bronzetafel
577;;"Kurt Schumacher; Politiker, Jurist und Redakteur, NS-Verfolgter, SPD-Vorsitzender";m;History;Politics;NS persecuted;13.10.1898, Culm;20.08.1952, Bonn;13353;Müllerstraße;163;Kurt-Schumacher-Haus, links vom Eingang;Wedding;;Bronzetafel
322;;"Carl Wilhelm Ramler; Dichter und Philosoph der Aufklärung";m;Culture;Writing;Aufklärung;25.02.1725, Kolberg;11.04.1798, Berlin;10115;Große Hamburger Straße;29 bis 30;An der rechten Seitenkapelle;Mitte;;Schiefertafel
578;;"Carl Leid; Kommunalpolitiker (SPD), Bezirksbürgermeister von Wedding";m;History;Politics;;02.12.1869, Arnstadt;16.01.1935, Berlin;13351;Carl-Leid-Weg;;Nähe Stadion Rehbergean Wegkreuzung;Wedding;;Bronzetafel am Findling
579;;"Wilhelm Hasenclever; Journalist, Schriftsteller und Politiker (ADAV)";m;Culture;Writing;worker's rights;19.04.1837, Arnsberg;03.07.1889, Schöneberg;13347;Wilhelm-Hasenclever-Platz;1;Anlage an der Oudenarder Straße /  Seestraße;Wedding;;Bronzetafel
580;;"Erwin Schläger; Polizei-Wachtmeister";m;History;Military and Police;;1907;18.03.1953, Berlin;13355;Graunstraße;37;Links vom Eingang, zwischen dem 2. und 3. Fenster;Gesundbrunnen;;Bronzetafel auf Holztafel
325;;"Christian Ernst Kühze (Kühtze); Theologe";m;Religion and Philosophy;Theologist;;20.01.1744/1745;26.08.1801, Berlin;10115;Sophienstraße;2 bis 3;An der rechten Seite der Sophienkirche;Mitte;;Steintafel
581;;"Bruno Stephan; Lehrer und Heimatforscher, Gründer des Heimatarchivs Wedding e.V.";m;Science and Research;Education;;09.10.1896;26.08.1983;13353;Müllerstraße;158;Links vom Eingang, zwischen dem 1. und 2. Fenster;Wedding;;Bronzetafel
326;;"Anna Louisa Karsch (Karschin); Dichterin";f;Culture;Writing;;01.12.1722, Hammer;12.10.1791, Berlin;10115;Große Hamburger Straße;29 bis 30;An der linken Seite der Sophienkirche;Mitte;1802;Steintafel mit vergoldeter Inschrift
71;;"Leo Arons; Physiker, Sozialdemokrat und freier Gewerkschafter";m;Science and Research;Physics;worker's rights;15.02.1860, Berlin;10.10.1919, Berlin;10179;Engeldamm;62 bis 64;Rechts vom Eingang;Mitte;06.09.2002;Acrylglastafel
327;;"Karl Lohmann (Hans Karl Heinrich Adolf); Biochemiker und Präsident des Instituts für Ernährung der DDR";m;Science and Research;Chemistry;GDR personality;10.04.1898, Bielefeld;22.04.1978, Berlin;10115;Hessische Straße;3;Linke Hauswand 5. Fenster vom Eingang;Mitte;16.11.1981;Bronzetafel
583;;"Jonny Liesegang (eigtl. Johannes Haasis); Heimatschriftsteller";m;Culture;Writing;;06.10.1897, Berlin;30.03.1961, Berlin;13351;Afrikanische Straße;146 c;Links vom Eingang;Wedding;16.11.1981;Bronzetafel
585;;"Kurt Steffelbauer; Lehrer, NS-Widerstandskämpfer, KPD-Mitglied";m;History;Communism;NS resistance;16.02.1890, Görlitz;21.05.1942, Berlin-Plötzensee;13353;Tegeler Straße;18;Rechts vom Eingang;Wedding;2008;Bronzetafel
586;;"Otto Lemm; Betriebselektriker, NS-Widerstandskämpfer (Kampfbund, Uhrig-Gruppe)";m;History;Communism;NS resistance;unbekannt;17.07.1944;13347;Oudenarder Straße;28;Rechts vom Eingang;Wedding;12.06.1951;Eisengusstafel
78;;"Margarethe von Witzleben; Begründerin der Schwerhörigenbewegung";f;History;Civil Society Organisation;disabilities;22.02.1853, Kitzscher;01.02.1917, Berlin;10115;Tieckstraße;17;Zwischen dem 1. und 2. Fenster rechts;Mitte;21.03.2003;Bronzetafel
590;;"Bernd Unger; Vorsitzender der Berliner Bärenfreunde e.V.";m;History;Civil Society Organisation;;10.05.1936;22.12.2005;10179;Rungestraße;;Am Wirtschaftsgebäude des Zwingers;Mitte;2009;Bronzetafel
79;;"Theodor Leipart; Drechsler, Vorsitzender des Allgemeinen Deutschen Gewerkschaftsbundes";m;History;Union;worker's rights;17.05.1867, Neubrandenburg;23.03.1947, Berlin;10179;Inselstraße;6;Zwischen dem 2. und 3. Fenster links vom Eingang;Mitte;02.05.2003;KPM - Berliner Gedenktafel
335;;"Ernst Thälmann; Politiker, Vorsitzender der KPD";m;History;Communism;NS victim;16.04.1886, Altona;18.08.1944, KZ Buchenwald;10178;Kleine Alexanderstraße;28;Links vom Eingang;Mitte;16.04.1952;Bronzetafel
591;;"Franz Berwald; Schwedischer Komponist, Orthopäde";m;Culture;Composing;Swedish;23.07.1796, Stockholm;03.04.1886, Stockholm;10117;Friedrichstraße;;Friedrichstraße Ecke Taubenstraße, auf dem Gehweg;Mitte;;Bronze-Bodentafel
337;;"Daniel Ernst Jablonski; Hofprediger und Mitbegründer der späteren Preussischen Akademie der Wissenschaften";m;Religion and Philosophy;Priest;Prussian;20.11.1660, Nassenhuben b. Danzig;25.05.1741, Berlin;10179;Klosterstraße;66;Rechte Seite der Kirche, Wand- und Bodenplatte;Mitte;19.03.2000;Steintafel
595;;"Siegfried Wilhelm Dehn; Musiktheoretiker";m;Culture;Musiktheorist;;24.02.1799, Altona;12.04.1858, Berlin;10117;Marienstraße;28;Zwischen dem 1. und 2. Fenster rechts neben Eingang;Mitte;11.04.2009;Edelstahltafel, poliert
86;;"Stephanie Hüllenhagen; Schneiderin,  Gerechte unter den Völkern";f;History;Civilian;NS resistance;17.09.1893;15.01.1967, Berlin;13357;Bellermannstraße;14;Rechts vom Eingang;Gesundbrunnen;13.11.2003;Bronzetafel
342;;"Ludwig Bellermann; Philologe, Germanist und Pädagoge";m;Science and Research;Philology;;07.11.1836, Berlin;08.02.1915, Berlin;10179;Klosterstraße;73;In der Franziskaner Klosterkirche rechte Wand;Mitte;;Steintafel
87;;"Karl Liebknecht; Rechtsanwalt, Politiker, Mitbegründer Spartakusbund und KPD";m;History;Communism;November Revolution;13.08.1871, Leipzig;15.01.1919, Berlin;10785;Potsdamer Platz;10;Am Durchgang;Tiergarten;20.11.2003;Acrylglas-Infostele
88;;"Nikolai Massalow; sowjetischer Soldat";m;History;Military and Police;Russian;1881;10.12.2001, Kemerowo, Russland;10785;Potsdamer Brücke;;Brückengeländer Ostseite, Schöneberger Ufer;Tiergarten;10.12.2003;Bronzetafel
90;;"Alexander von Humboldt; Naturforscher, Mitbegründer der wissenschaftlichen Geographie";m;Science and Research;Science;Prussian;14.09.1769, Berlin;06.05.1859, Berlin;10178;Oranienburger Straße;67;Ganz links am Haus;Mitte;14.09.2004;Bronzetafel
346;;"Christian Koppe; Stadthauptmann und Ratsverwandter (Ratsherr)";m;History;Politics;;unbekannt;23.01.1721;10115;Koppenplatz;13;Hinter Säulen;Mitte;1855;Vergoldete Inschrift in Marmor
93;;"Kurt Klinke; NS-Widerstandskämpfer, Mechaniker, Sozialist";m;History;Communism;NS resistance;28.09.1910, Berlin;13.12.1944, Berlin;10115;Strelitzer Straße;18;Zwischen dem 2. und 3. Fenster links vom Eingang;Mitte;07.04.2005;Bronzetafel
94;;"Ferdinand Lassalle; Schriftsteller, Politiker, Gründer des  Allgemeinen Deutschen Arbeitervereins (ADAV)";m;Culture;Writing;worker's rights;11.04.1825, Breslau;31.08.1864, Genf;10785;Bellevuestraße;3;Früher Nr. 15, Bodenplatte im Gehweg unter Laterne;Tiergarten;11.04.2005;Bronze-Bodeninfotafel
608;;"Hellmuth von Gerlach; Politiker, Journalist und Pazifist";m;History;Politics;Pacificm;02.02.1866, Mönchmotschelnitz, Schlesien;01.08.1935, Paris;10785;Genthiner Straße;48;Rechts vom Eingang;Tiergarten;05.06.2008;Acrylglastafel
353;;"Wilhelm Pieck; Vorsitzender der Roten Hilfe, Erster und einziger Präsident der DDR";m;History;Politics;GDR personality;03.01.1876, Guben;07.09.1960, Berlin;10117;Luisenstraße;58 bis 59;Rechts neben dem Eingang;Mitte;;Marmortafel mit weißer Inschrift
98;;"Konrad Adenauer; Präsident des Preussischen Staatsrats, Ehrenbürger von Berlin, Bundeskanzler";m;History;Politics;Cancelor;05.01.1876, Köln;19.04.1967, Bad Honnef;10117;Wilhelmstraße;54;Früher Nr. 64, rechts vom Eingang;Mitte;19.04.1994;KPM - Berliner Gedenktafel
610;;"Hugo Haase; Politiker, Rechtsanwalt und Pazifist";m;History;Politics;Pacificm;29.09.1863, Allenstein, Ostpreußen;07.11.1919, Berlin;10178;Karl-Liebknecht-Straße;3 ggü.;Marx-Engels-Forum, Bodentafel am Gehsteigrand zur Rasenfläche, ggü. vom Radison;Mitte;;Edelstahl
99;;"Peter Anders; Kammersänger";m;Culture;Singing;;01.07.1908, Essen;10.09.1954, Berlin;10557;Thomasiusstraße;25;Rechts vom Eingang;Moabit;03.08.2010;KPM - Berliner Gedenktafel
100;;"Bettina von Arnim; Schriftstellerin";f;Culture;Writing;;04.04.1785, Frankfurt am Main;20.01.1859, Berlin;10557;John-Foster-Dulles-Allee;10;Eingangsbereich links hinter dem Info-Stand;Tiergarten;23.02.1990;KPM - Berliner Gedenktafel
101;;"Marianne Awerbuch; Historikerin und Judaistin";f;Science and Research;History;;20.06.1917;27.07.2004;10557;Holsteiner Ufer;18 bis 20;An der Wand links vom Eingang;Hansaviertel;27.07.2011;KPM - Berliner Gedenktafel
613;;"Victor Klemperer; Romanist und Politiker jüdischer Herkunft";m;History;Politics;jewish;09.10.1881, Landsberg an der Warthe;11.02.1960, Dresden;10117;Dorotheenstraße;1;;Mitte;;KPM - Berliner Gedenktafel
102;;"Georg Benjamin; Schul- und Kinderarzt, Bezirksverordneter (KPD), NS-Widerstandskämpfer";m;History;Communism;NS resistance;10.09.1895, Berlin;26.08.1942, KZ Mauthausen;13357;Badstraße;40;Hausflur links an der Wand;Gesundbrunnen;30.09.1991;KPM - Berliner Gedenktafel
105;;"Lovis Corinth; Kunstmaler, Präsident der Berliner Secession";m;Culture;Painting;;21.07.1858, Tapiau, Ostpreußen;17.07.1925, Zandvoort, Niederlande;10557;Klopstockstraße;25 bis 27;Giebelwand zur Klopstockstraße;Hansaviertel;13.07.1998;KPM - Berliner Gedenktafel
617;;"Emilie Lehmus und Franziska Tiburtius; Erster Berliner Ärztinnen, Gründerinnen einer Poliklinik für Frauen";ff;Science and Research;Medicine;;"30.08.1841, Fürth; 24.01.1843, Rügen";"17.10.1932, Gräfenberg; 05.05.1927, Berlin";10119;Alte Schönhauser Straße;23 bis 24;Zwischen dem 1. und 2. Fenster links der Einfahrt;Mitte;18.06.2006;Edelstahltafel
106;;"Eduard Cortain; katholischer Theologe";m;Religion and Philosophy;Theologist;catholic;02.06.1866, Münster;26.08.1936, Berlin;13355;Feldstraße;4;Pfarramt St. Sebastian, Rechts vom Eingang, zwischen dem 2. und 3. Fenster;Gesundbrunnen;26.08.1991;KPM - Berliner Gedenktafel
107;;"Günther Dehn; evangelischer Pastor und Theologe";m;Religion and Philosophy;Theologist;protestant;18.04.1882, Schwerin;17.03.1970, Bonn;10551;Wiclefstraße;33 bis 35;Wiclefstraße Ecke Beusselstraße 35, rechts vom Eingang der Reformationskirche;Moabit;30.05.1990;KPM - Berliner Gedenktafel
108;;"Max, Anneliese und Paula Dessauer, Frieda Rosenthal; NS-Opfer";mfff;History;Civilian;NS victim;;;10178;Sophienstraße;28 bis 29;Rechte Wand im Hausflur;Mitte;;KPM - Berliner Gedenktafel
109;;"Salo Siegfried Drucker; Erster Stadtarzt des Bezirks Wedding";m;History;Doctor;;17.09.1885, Lissa, Posen;19.08.1940, KZ Sachsenhausen;13347;Reinickendorfer Straße;60 a;Links vom Eingang;Wedding;19.08.1990;KPM - Berliner Gedenktafel
