id;was;wer;geburtsdatum_und_geburtsort;sterbedatum_und_sterbeort;postleitzahl;strasse;hausnummer;standort;ortsteil;erstellt;art;foto_1;foto_2;foto_3;foto_4;tafeltext
26;;"Henriette Hirschfeld-Tiburtius; Erste akademisch ausgebildete Zahnärztin in Deutschland";14.02.1834, Westerland auf Sylt;25.08.1911, Berlin;10117;Behrenstraße;9 bis 13;Behrenstraße / Glinkastraße;Mitte;14.02.1998;Edelstahltafel;/ba-mitte/_assets/gedenktafeln/id-26_hirschfeld-tiburtius-henriette.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-26_hirschfeld-tiburtius-henriette.pdf
286;;"Heinrich Heine; Dichter; Schriftsteller und Journalist";13.12.1797, Düsseldorf;17.02.1856, Paris;10117;Behrenstraße;68 bis 71;Zwischen dem 1. und 2. Fenster rechts vom Eingang;Mitte;17.02.1956;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-286_heinrich-heine.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-286_heine.pdf
291;;"Carl Friedrich Zelter; Maurermeister, Musikprofessor; Komponist; Dirigent";11.12.1758, Berlin;15.05.1832, Berlin;10178;Brüderstraße;13;Ganz links unter 1. Etage;Mitte;1928;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-291_carl-friedrich-zelter.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-291_zelter.pdf
292;;"Theodor Körner; Dichter und Dramatiker";23.09.1791, Dresden;26.08.1813, Forst Rosenow bei Gadebusch;10178;Brüderstraße;13;2. Tafel links vom Eingang unter 1. Etage;Mitte;1928;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-292_theodor-koerner.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-292_theodor-koerner.pdf
293;;"Christian Gottfried Körner, Minna Körner und Dora Stock; Schriftsteller";;;10178;Brüderstraße;13;3. Tafel links vom Eingang unter 1. Etage;Mitte;1928;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-293_koerner-und-stock.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-293_koerner-stock.pdf
38;;"Carl Abraham Gerhard; Mineraloge und Gründer der Berliner Bergakademie";26.02.1738, Lerchenborn;09.03.1821, Berlin;10179;Neue Grünstraße;27;Rechts neben Eingang;Mitte;02.06.1998;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-38_carl-abraham-gerhard.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-38_gerhard.pdf
294;;"Elisa von der Recke; Christoph August Tiedge; Schriftsteller";"20.05.1754, Schönberg; 14.12.1752, Gardeleben";"13.04.1833, Dresden; 08.03.1841, Dresden";10178;Brüderstraße;13;2. Tafel rechts vom Eingang unter 1. Etage;Mitte;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-294_von-der-recke-und-tiedke.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-294_recke-tiedke.pdf
39;;"Karl Philipp Moritz alias Anton Reiser; Schriftsteller, Philosoph und Journalist";15.09.1756, Hameln;26.06.1793, Berlin;10178;Münzstraße;7;Ganz links am Haus;Mitte;15.09.1998;KPM - Berliner Gedenktafel;/ba-mitte/_assets/gedenktafeln/id-39_moritz-karl-philipp.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-39_moritz-karl-philipp.pdf
295;;"Max Butting; Komponist; Gründungsmitglied der Deutschen Akademie der Künste der DDR";06.10.1888, Berlin;13.07.1976, Berlin;10115;Brunnenstraße;148;Über dem Hauseingang;Mitte;;Steintafel mit schwarzer Inschrift;/ba-mitte/_assets/gedenktafeln/id-295_butting-max.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-295_butting.pdf
40;;"Alexander Michailowitsch Gortschakow; russischer Diplomat, Aussenminister und Kanzler";04.06.1798, Haapsalu;13.03.1883, Baden-Baden;10117;Unter den Linden;61;Rechts vom Eingang, Wand zum Gehweg;Mitte;10.11.1998;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-40_gortschakow.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-40_gortschakov.pdf
296;;"Philipp Schaeffer; Orientalist, Sinologe und NS-Widerstandskämpfer";16.11.1894, Königsberg;13.05.1943, Berlin-Plötzensee;10119;Brunnenstraße;181;1. Obergeschoß rechts von der Treppe;Mitte;1953;Acrylglastafel;/ba-mitte/_assets/gedenktafeln/id-296_schaeffer-philipp.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-296_schaeffer-philipp.pdf
41;;"Peter Behrens; Architekt, Kunstmaler und Designer";14.04.1868, Hamburg;27.02.1940, Berlin;10178;Alexanderplatz;2;Alexanderhaus, zwischen den Eingangstüren;Mitte;02.03.1999;Edelstahltafel;/ba-mitte/_assets/gedenktafeln/id-41_behrens-peter.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-41_behrens-peter.pdf
299;;"August Borsig; Zimmermann; Unternehmer; Gründer der Borsig-Werke";23.06.1804, Breslau;06.07.1854, Berlin;10115;Chausseestraße;1;Rechts vom Eingang;Mitte;;Eisengusstafel;;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-299_borsig.pdf
300;;"Bertolt Brecht; Dramatiker und Lyriker; Helene Weigel; Schauspielerin";"10.02.1898, Augsburg; 12.05.1900, Wien";"14.08.1956, Berlin; 06.05.1971, Berlin";10115;Chausseestraße;125;Rechts vom Eingang;Mitte;09.02.1978;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-300_brecht-weigel.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-300_brecht-weigel.pdf
46;;"Moritz Heinrich Romberg; Neurologe, Armenarzt und Mitbegründer der Neurologie";11.11.1795, Meiningen;17.06.1873, Berlin;10117;Am Zeughaus;2;Links vom Eingang;Mitte;04.06.1999;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-46_romberg-moritz-heinrich.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-46_romberg-moritz-heinrich.pdf
47;;"Otto Weidt; Unternehmer; Besitzer einer Blindenwerkstatt";02.05.1883, Rostock;22.12.1947, Berlin;10178;Rosenthaler Straße;39;Bodenplatte in der Einfahrt;Mitte;04.09.1999;Bronze-Bodentafel;/ba-mitte/_assets/gedenktafeln/id-47_weidt-otto.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-47_otto-weidt.pdf
303;;"Robert Koch; Mediziner und Mikrobiologe";11.12.1843, Clausthal;27.05.1910, Baden-Baden;10117;Dorotheenstraße;96;Über der Tür des Lesesaales;Mitte;um 1900;Holztafel;;;;;
48;;"Alexander von Humboldt; Naturforscher; Mitbegründer der wissenschaftlichen Geographie";14.09.1769, Berlin;06.05.1859, Berlin;10117;Jägerstraße;22;Zwischen dem 2. und 3. Fenster rechts vom Eingang;Mitte;1984;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-48_humboldt-alexander-von.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-48_humboldt-alexander.pdf
306;;"Theodor Fontane; Schriftsteller und Apotheker";30.12.1819, Neupuppin;20.09.1898, Berlin;10117;Friedrichstraße;151;Friedrichstraße Ecke Dorotheenstraße, im Schaufenster der Apotheke;Mitte;1992;Glasscheibe mit schwarzer und weißer Schrift;/ba-mitte/_assets/gedenktafeln/id-306_fontane-theodor.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-306_fontane.pdf
51;;"Michail Iwanowitsch Glinka; russischer Komponist";20.05.1804, Smolensk, Russland;03.07.1857, Berlin;10117;Französische Straße;8;Glinkastraße, links vom Eingang;Mitte;18.02.2000;Edelstahltafel;/ba-mitte/_assets/gedenktafeln/id-51_michail-iwanowitsch-glinka.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-51_glinka.pdf
54;;"Ludwig Jonas; protestantischer Theologe; Diakon von St. Nikolai; Kirchenpolitiker";11.02.1797, Neustadt (Dosse);19.09.1859, Berlin;10178;Brüderstraße;13;3. Tafel rechts vom Eingang unter 1. Etage;Mitte;14.09.2000;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-54_ludwig-jonas.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-54_ludwig-jonas.pdf
56;;"Enrique Gil y Carrasco; spanischer Schriftsteller; Bibliothekar; Botschaftssekretär";15.07.1815, Villafranca del Bierzo;22.02.1846 Berlin;10117;Dorotheenstraße;41;Zwischen 2 Schaufenstern;Mitte;18.10.2000;Bronzetafel mit blauer Inschrift;/ba-mitte/_assets/gedenktafeln/id-56_carrasco-enrique.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-56_carrasco-enrique.pdf
60;;"Robert Frenzel; Schulleiter; Begründer der Berliner Abendrealschule";1888, Berlin;1977, Lüneburg;10119;Gipsstraße;23 a;Links vom Eingang, am Nebeneingang;Mitte;03.03.2001;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-60_frenzel-robert.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-60_frenzel.pdf
316;;"Michael Iwanowitsch Glinka; russischer Komponist";20.05.1804, Smolensk, Russland;03.07.1857, Berlin;10117;Glinkastraße;9 bis 11;Im geschlossenen Fensterbogen;Mitte;17.03.1952;Steinrelief;/ba-mitte/_assets/gedenktafeln/id-316_glinka-michael-iwanowitsch.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-316_glinka.pdf
61;;"Herbert Baum; Jungkommunist; Leiter der antifaschischen Widerstandsgruppe Herbert Baum";10.02.1912;11.06.1942, Berlin;10178;Am Lustgarten;9;Lustgarten, Gedenkstein vor dem Dom;Mitte;04.03.2001;Gedenksteininschrift und 3 Acrylglastafeln;/ba-mitte/_assets/gedenktafeln/id-61_herbert-baum_1.jpg;/ba-mitte/_assets/gedenktafeln/id-61_herbert-baum_2.jpg;/ba-mitte/_assets/gedenktafeln/id-61_herbert-baum_3.jpg;/ba-mitte/_assets/gedenktafeln/id-61_herbert-baum_4.jpg;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-61_herbert-baum.pdf
317;;"Franz Mett; Bergmann, Metallarbeiter, Funktionär der KPD; NS-Widerstandskämpfer (Uhrig-Gruppe)";25.10.1904, Nickelnischken, Ostpreußen;21.08.1944, Zuchthaus Brandenburg;10119;Gormannstraße;13;Am Mittelpfeiler des Eingangs;Mitte;40er Ende;Steintafel;/ba-mitte/_assets/gedenktafeln/id-317_franz-mett.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-317_mett.pdf
573;;"Paul Gurk; Schriftsteller und Maler";26.04.1880, Frankfurt/Oder;12.08.1953, Berlin;13351;Afrikanische Straße;144 b;Rechts vom Eingang;Wedding;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-573_gurk-paul.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-573_gurk.pdf
319;;"Franz Bumm; Jurist; Präsident des Reichsgesundheitsamts";07.03.1861, Würzburg;13.08.1942, Berlin;10115;Große Hamburger Straße;7 bis 11;Im Eingangsbereich des Josephshaus St. Hedwig-Krankenhauses;Mitte;14.09.1996;Steintafel mit Reliefportrait;;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-319_franz-bumm.pdf
64;;"Regina Jonas; Weltweit erste ordinierte Rabbinerin";03.08.1902, Berlin;1944, Auschwitz-Birkenau;10115;Krausnickstraße;6;Rechts neben dem Eingang;Mitte;01.06.2001;Acrylglastafel;/ba-mitte/_assets/gedenktafeln/id-64_regina-jonas.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-64_regina-jonas.pdf
576;;"Theodor Plievier; Schriftsteller; Matrose; Anarchist";12.02.1892, Berlin;12.03.1955, Avegno, Schweiz;13357;Wiesenstraße;29;Rechts vom Eingang;Gesundbrunnen;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-576_plievier-theodor.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-576_plievier.pdf
577;;"Kurt Schumacher; Politiker; Jurist und Redakteur; NS-Verfolgter; SPD-Vorsitzender";13.10.1898, Culm;20.08.1952, Bonn;13353;Müllerstraße;163;Kurt-Schumacher-Haus, links vom Eingang;Wedding;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-577_schumacher-kurt.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-577_schumacher.pdf
322;;"Carl Wilhelm Ramler; Dichter und Philosoph der Aufklärung";25.02.1725, Kolberg;11.04.1798, Berlin;10115;Große Hamburger Straße;29 bis 30;An der rechten Seitenkapelle;Mitte;;Schiefertafel;/ba-mitte/_assets/gedenktafeln/id-322_ramler-carl-wilhelm.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-322_ramler.pdf
578;;"Carl Leid; Kommunalpolitiker (SPD); Bezirksbürgermeister von Wedding";02.12.1869, Arnstadt;16.01.1935, Berlin;13351;Carl-Leid-Weg;;Nähe Stadion Rehbergean Wegkreuzung;Wedding;;Bronzetafel am Findling;/ba-mitte/_assets/gedenktafeln/id-578_carl-leid.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-578_leid.pdf
579;;"Wilhelm Hasenclever; Journalist, Schriftsteller und Politiker (ADAV)";19.04.1837, Arnsberg;03.07.1889, Schöneberg;13347;Wilhelm-Hasenclever-Platz;1;Anlage an der Oudenarder Straße /  Seestraße;Wedding;;Bronzetafel;/ba-mitte/_assets/gedenktafeln/id-579_hasenclever-wilhelm.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-579_hasenclever.pdf
580;;"Erwin Schläger; Polizei-Wachtmeister";1907;18.03.1953, Berlin;13355;Graunstraße;37;Links vom Eingang, zwischen dem 2. und 3. Fenster;Gesundbrunnen;;Bronzetafel auf Holztafel;/ba-mitte/_assets/gedenktafeln/id-580_erwin-schlaeger.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-580_schlaeger.pdf
325;;"Christian Ernst Kühze (Kühtze); Theologe";20.01.1744/1745;26.08.1801, Berlin;10115;Sophienstraße;2 bis 3;An der rechten Seite der Sophienkirche;Mitte;;Steintafel;/ba-mitte/_assets/gedenktafeln/id-325_kuehze-ernst.jpg;;;;/kunst-und-kultur-mitte/geschichte/erinnerungskultur/gedenktafel-datenbank/id-325_kuehze.pdf
